,url,title,platform
0,https://finance.detik.com/berita-ekonomi-bisnis/d-7659219/jubir-luhut-berikan-penjelasan-soal-ppn-naik-jadi-12-mau-diundur,Jubir Luhut Berikan Penjelasan soal PPN Naik Jadi 12% Mau Diundur,detik.com
1,https://finance.detik.com/detiktv/d-7659190/video-luhut-sebut-pajak-12-diundur,Video Luhut Sebut Pajak 12% Diundur,detik.com
2,https://finance.detik.com/berita-ekonomi-bisnis/d-7658764/luhut-sebut-ppn-naik-jadi-12-bakal-diundur,Luhut Sebut PPN Naik Jadi 12% Bakal Diundur!,detik.com
3,https://finance.detik.com/berita-ekonomi-bisnis/d-7658290/pengusaha-dipanggil-kemenkeu-bahas-ppn-naik-jadi-12,Pengusaha Dipanggil Kemenkeu Bahas PPN Naik Jadi 12%,detik.com
4,https://finance.detik.com/ekonomi-bisnis/d-7658127/airlangga-sri-mulyani-kompak-ogah-respons-penolakan-ppn-naik-jadi-12,Airlangga & Sri Mulyani Kompak Ogah Respons Penolakan PPN Naik Jadi 12%,detik.com
5,https://finance.detik.com/berita-ekonomi-bisnis/d-7657574/ppn-mau-naik-jadi-12-pemerintah-bakal-guyur-bansos,"PPN Mau Naik Jadi 12%, Pemerintah Bakal Guyur Bansos?",detik.com
6,https://finance.detik.com/berita-ekonomi-bisnis/d-7657301/buku-kategori-ini-bakal-kena-ppn,Buku Kategori Ini Bakal Kena PPN,detik.com
7,https://finance.detik.com/berita-ekonomi-bisnis/d-7656939/ppn-bakal-naik-jadi-12-pengusaha-angkutan-penyeberangan-teriak,"PPN Bakal Naik Jadi 12%, Pengusaha Angkutan Penyeberangan Teriak",detik.com
8,https://oto.detik.com/mobil/d-7656857/ppn-naik-12-ini-daftar-pajak-beli-mobil-baru-total-hampir-setengah-harga-mobil,"PPN Naik 12%: Ini Daftar Pajak Beli Mobil Baru, Total Hampir Setengah Harga Mobil!",detik.com
9,https://www.detik.com/properti/berita/d-7656526/keluh-kesah-pengembang-ppn-naik-jadi-12,Keluh Kesah Pengembang PPN Naik Jadi 12%,detik.com
10,https://www.detik.com/sumut/bisnis/d-7656714/daftar-20-negara-yang-bebas-ppn,Daftar 20 Negara yang Bebas PPN,detik.com
11,https://finance.detik.com/berita-ekonomi-bisnis/d-7656405/pengusaha-tolak-keras-ppn-naik-jadi-12-biaya-proyek-bisa-bengkak,Pengusaha Tolak Keras PPN Naik Jadi 12%: Biaya Proyek Bisa Bengkak,detik.com
12,https://finance.detik.com/detiktv/d-7656444/video-daftar-negara-bebas-ppn-salah-satunya-ada-myanmar,"Video: Daftar Negara Bebas PPN, Salah Satunya Ada Myanmar",detik.com
